DATE,PRCP
4/30/1990,0
3/30/2011,0
1/21/2015,0.03
6/22/2013,0
5/13/2014,0.97
7/26/2013,0
8/8/1992,0
2/25/2013,0.01
6/14/2019,0
5/1/1990,0
9/5/2010,0
9/15/2014,0.01
10/25/2017,0
6/8/2018,0
4/22/2010,0
6/24/2018,0
3/18/2018,0
1/24/1990,0
6/5/2014,0
1/26/2016,0
6/3/1996,0.02
6/27/2017,0.65
8/9/2010,0
10/10/2017,0
7/16/2020,0
10/2/2013,0
3/12/2015,0
6/26/2012,0
11/25/2013,0.14
11/26/2008,0
1/16/2016,0
7/19/2009,0
3/12/2010,0
5/16/2012,0.06
8/20/2017,0
11/9/2019,0.02
10/31/2007,0
9/20/2008,0
7/1/2019,0
5/14/2020,0.51
4/14/2010,0
1/12/2018,0
11/20/2019,0
8/22/1997,0
5/1/2016,0
4/23/2017,0.04
9/13/2015,0
10/24/2020,0
5/10/2018,0
3/28/2019,0
1/13/2018,0
12/15/2016,
9/29/2014,0
3/11/2019,0
2/3/2020,0
5/28/1990,0
4/19/2018,0
6/11/2010,0
8/5/2013,0
6/16/2017,0
10/9/2007,0.61
3/25/2008,0
8/20/2020,0
12/7/2011,0
10/6/1996,0
7/21/2010,0
8/30/1989,0
10/2/2010,0
10/1/2015,0
9/7/2020,0
9/18/1996,
10/1/2009,0
12/16/2017,0.04
5/11/2014,0
1/2/2018,0
3/7/1997,0
11/1/2010,0
9/25/2013,0
1/28/2008,0
1/8/2019,0
2/8/1998,0
10/30/2015,0
12/21/2020,0
1/21/2014,0
9/27/2017,0.18
5/19/2012,0
1/22/1993,0
2/6/1990,0
6/25/2014,0
12/9/2016,0.02
9/25/2014,0
1/1/2009,0.24
10/11/2016,0
7/3/2018,0
12/1/1990,0
5/13/2013,0.57
12/24/2014,0
2/26/2019,0.05
7/28/2017,0
8/6/2017,0
10/20/2015,0
2/22/2015,0
9/21/2018,0
8/25/2017,3.5
5/31/2018,0
4/18/1992,1.56
1/17/2019,0
12/4/2019,0
5/30/1994,0
1/13/2018,0
2/19/2012,0.02
8/6/2013,0
12/9/2014,0
2/25/2019,0
11/9/1996,0
4/2/2010,0
4/15/2020,0
6/10/2008,0
12/15/2014,0
9/19/2017,0
1/27/1997,0
12/15/2014,0
9/24/2016,0
5/27/2019,0
9/11/2020,0
8/13/1991,0
7/23/2010,0.14
2/21/2014,0
11/13/2018,0.11
8/21/2019,0
7/29/2008,0
6/1/2013,0
1/6/2020,0
9/27/2017,0.06
3/28/2020,0
7/4/1993,0
5/5/2014,0
3/4/2015,0
10/31/2014,1.89
1/3/1995,0.5
5/6/2016,0
10/29/1991,0
6/25/2010,0.13
11/11/2008,0
5/19/2018,0
10/6/2008,0
5/31/2018,0
6/11/2018,0
12/1/1988,0
3/20/1990,0
8/5/2016,0
7/18/1994,0
5/29/2020,0
12/26/2020,0
10/1/2014,0.01
2/14/1989,0
4/29/1989,0.11
9/21/2014,0.02
7/4/2018,0
1/5/2015,0
3/29/2010,0
10/31/2016,0.91
11/1/2017,0.03
12/1/2019,0
1/1/2011,0
8/7/2014,0
3/19/2018,0
8/1/2018,0.03
5/8/2019,0.01
3/12/2017,0.36
1/6/2021,0
8/17/2014,0
9/7/2016,0
2/17/2014,0
12/9/2009,0.03
11/17/2017,0.01
4/13/1992,0
2/17/1994,0
8/2/2012,0
7/25/2010,0
1/9/2011,1.43
12/4/2008,0
1/9/2016,0
4/20/2010,0
2/6/2011,0
1/3/2016,0.78
9/18/2013,0.11
11/7/2018,0
10/28/2017,0
3/11/2020,0.01
6/30/2020,0
5/22/1995,0
12/8/2011,0
9/15/2013,0.23
10/9/2017,0
4/14/1995,0
4/30/2014,
4/9/2020,0
11/19/2007,0
2/24/2015,0.02
2/1/2009,0
9/29/2015,0
2/26/2014,0.22
4/6/2010,0
1/3/2013,0.38
3/27/2017,0
10/12/2009,0.18
12/9/1991,0
3/2/2011,0
1/23/2017,0
11/21/2008,0.18
8/28/2010,0
3/9/2018,0
5/31/2011,0
2/10/1996,0
1/17/2019,0.02
11/12/2010,0
3/5/2015,0.01
9/8/2013,0.09
6/21/2014,0
10/23/2014,0
3/2/2008,0
4/6/2013,0
7/27/2020,0.02
10/26/1994,0
4/7/2015,0
1/1/2009,0.02
9/8/2020,0
2/22/1989,0
12/26/2017,0.02
1/15/2011,0.31
11/6/2018,0
2/12/1995,0
10/20/2019,0
10/31/2019,0.94
10/10/2015,0.76
5/9/2016,0.23
4/10/2008,0
10/12/2011,0
10/6/2019,0
4/16/2011,0
4/18/2018,0
7/21/2020,0.01
5/25/2009,0.23
7/22/2010,0.05
3/12/2017,0.02
3/16/2019,0.04
11/27/2015,0.08
9/16/1988,0.32
1/30/2015,0
5/28/2018,0
6/10/2015,0
10/3/1992,0
12/6/1995,0
2/16/2014,0
9/11/2016,0.45
8/16/2018,0
9/27/2019,0
5/26/2011,0
9/22/2010,0.03
6/1/2013,0
5/20/2015,0
2/16/2018,0
2/18/1995,0
9/22/2018,0
7/6/2009,0
11/23/2010,0
2/20/2013,0
7/21/2013,0
6/5/2018,0
4/3/1989,0
7/27/1990,0
4/4/2011,0
7/25/2008,0.11
8/6/2017,0
4/16/2018,0
1/31/1994,0
3/11/2015,0
1/26/2018,0.02
6/10/2018,0
